Company,Slogan,Description,Shortened_Description
Gini (soft drink),The hottest of cold drinks.,"Gini is a French lemon soft drink created in 1971 by Perrier and which was purchased by Cadbury Schweppes in 1989. It has been manufactured by Suntory for many years. It is well known in France, where its slogan is La plus chaude des boissons froides.",Gini French lemon soft drink Perrier Cadbury Schweppes Suntory many years France
Moxie,Just Make It Moxie for Mine.,"Moxie is a brand of carbonated beverage that is among the first mass-produced soft drinks in the United States. It was created around 1876 by Augustin Thompson as a patent medicine called ""Moxie Nerve Food"" and was produced in Lowell, Massachusetts. It has been described as having ""a bitter aftertaste that some say is similar to root beer."" It is flavored with gentian root extract, an extremely bitter substance commonly used in herbal medicine.",Moxie brand beverage first mass soft drinks United States Augustin Thompson patent
Mello Yello,Make The Mello Yello Move.,"Mello Yello is a highly caffeinated, citrus-flavored soft drink produced, distributed and created by the Coca-Cola Company that was introduced on March 12, 1979, to compete with PepsiCo's Mountain Dew.",Mello Yello citrus soft drink Coca Cola Company March PepsiCo Mountain Dew
Limca,It's veri veri Lime & Lemoni.,"Limca is an Indian multinational brand of lemon- and lime-flavoured carbonated soft drink made primarily in India and certain parts of the U.S. It contains 60 calories per 150ml can. The formula does not include fruit, relying instead on artificial flavours.",Limca Indian multinational brand lemon- lime soft drink India certain parts U.S.
Lilt,the totally tropical taste.,"Lilt was a brand of soft drink manufactured by The Coca-Cola Company and sold only in the United Kingdom, Ireland and Gibraltar.",Lilt brand soft drink Coca Cola Company United Kingdom Ireland Gibraltar
Inca Kola,Let's go for more.,"Inca Kola is a soft drink that was created in Peru in 1935 by British immigrant Joseph Robinson Lindley. The soda has a sweet, fruity flavor that somewhat resembles its main ingredient, lemon verbena. Americans compare its flavor to bubblegum or cream soda, and it is sometimes categorized as a champagne cola.",Inca Kola soft drink Peru British immigrant Joseph Robinson Lindley soda sweet
Fresca,Nothing tastes like Fresca.,"Fresca is a grapefruit-flavored citrus soft drink created by The Coca-Cola Company. Borrowing the word Fresca from Italian, Spanish, and Portuguese, it was introduced in the United States in 1966. Originally a bottled sugar-free diet soda, sugar sweetened versions were introduced in some markets.",Fresca grapefruit citrus soft drink Coca Cola Company word Fresca Italian Spanish
Barq's,Barq's has bite!,"Barq's is a brand of root beer created by Edward Barq and bottled since the beginning of the 20th century. It is owned by the Coca-Cola Company. It was known as ""Barq's Famous Olde Tyme Root Beer"" until 2012. Some of its formulations contain caffeine.",Barq brand root beer Edward Barq beginning 20th century Coca Cola Company
Pepsi Zero Sugar,Get Buckets.,"Pepsi Zero Sugar, is a zero-calorie, sugar-free, formerly ginseng-infused cola sweetened with aspartame and acesulfame K, marketed by PepsiCo. It originally contained nearly twice the caffeine of Pepsi's other cola beverages. Before a recipe change in late 2022, Pepsi Zero Sugar contained 69 milligrams of caffeine per 355 mL (12.5 imp fl oz), versus 36 milligrams in Diet Pepsi. A new logo was introduced in 2020.",Pepsi Zero Sugar calorie sugar free ginseng cola aspartame acesulfame K PepsiCo
Horlicks,the food drink of the night.,"Horlicks is a British sweet malted milk hot drink powder developed by founders James and William Horlick. It was first sold as ""Horlick's Infant and Invalids Food"", soon adding ""aged and travellers"" to their label. In the early 20th century, it was sold as a powdered meal replacement drink mix.",Horlicks British sweet milk hot drink powder founders James William Horlick Horlick
Woodroofe,Still the best lemonade made.,"

Woodroofe is a brand of soft drinks in South Australia.",Woodroofe brand soft drinks South Australia
Konig's Westphalian Gin,The only perfect gin.,"Konig's Westphalian Gin was a Steinhäger gin produced up to the early part of the twentieth century from malt, juniper berries and mineral water at H. C. König's distillery in Steinhagen, Westphalia, Germany. Steinhäger was first produced in 1640.",Konig Westphalian Gin Steinhäger gin early part twentieth century malt juniper berries
Evoca Cola,The original Black Seed Cola.,"Evoca Cola is a cola-flavoured carbonated soft drink. It is produced by Evoca Drinks, a London-based soft drinks company, and is sold in the United Kingdom, the Channel Islands, Europe and the Far East.",Evoca Cola cola soft drink Evoca Drinks London soft drinks company United
Jolly Cola,Free your taste.,"Jolly Cola is an original Danish soft drink dating back to 1959. Jolly is owned by the 
limited company 'Dansk Coladrik A/S'. Jolly Cola is now produced by Brewery Vestfyen, which also produces Jolly Light, Jolly Time, and Jolly Orange.",Jolly Cola original Danish soft drink Jolly limited company Dansk Coladrik A
Colgate,"Stronger, healthier gums.",Colgate may refer to:,Colgate
Fanta,"Drink Fanta, stay Bamboocha.","Fanta is an American-owned brand of fruit-flavored carbonated soft drinks created by Coca-Cola Deutschland under the leadership of German businessman Max Keith. There are over 200 flavors worldwide. Fanta originated in Germany as a Coca-Cola alternative in 1941 due to the American trade embargo of Nazi Germany which affected the availability of Coca-Cola ingredients. Fanta soon dominated the German market with three million cases sold in 1943. The current formulation of Fanta, with orange flavor, was developed in Italy in 1955.",Fanta American brand fruit soft drinks Coca Cola Deutschland leadership German businessman
Pizza Hut,Make it great.,"Pizza Hut, LLC is an American multinational pizza restaurant chain and international franchise founded in 1958 in Wichita, Kansas, by brothers Dan and Frank Carney. The chain, headquartered in Plano, Texas, operates 19,866 restaurants worldwide as of 2023.",Pizza Hut LLC American multinational pizza restaurant chain international franchise Wichita Kansas
Head & Shoulders,Live head first.,Head & Shoulders (H&S) is an American brand of anti-dandruff and non-dandruff shampoo produced by parent company Procter & Gamble.,Head Shoulders H&S American brand anti - dandruff non - dandruff shampoo
Domino's Pizza,Pizza deliver experts.,"Domino's Pizza, Inc., commonly referred to as Domino's, is an American multinational pizza restaurant chain founded in 1960 and led by CEO Russell Weiner. The corporation is Delaware-domiciled and headquartered at the Domino's Farms office park in Ann Arbor Township, near Ann Arbor, Michigan. As of 2018, Domino's had approximately 15,000 stores, with 5,649 in the United States, 1,500 in India, and 1,249 in the United Kingdom. Domino's has stores in over 83 countries and 5,701 cities worldwide.",Domino Pizza Inc. Domino American multinational pizza restaurant chain CEO Russell Weiner
Ben & Jerry's,"Peace, love & ice cream.","Ben & Jerry's Homemade Holdings Inc., trading and commonly known as Ben & Jerry's, is an American company that manufactures ice cream, frozen yogurt, and sorbet. Founded in 1978 in Burlington, Vermont, the company went from a single ice cream parlor to a multinational brand over the course of a few decades. The company was sold in 2000 to the British multinational conglomerate Unilever but operates as an independent subsidiary. Its present-day headquarters is in South Burlington, Vermont, with its factory in Waterbury, Vermont.",Ben Jerry Homemade Holdings Inc. trading Ben Jerry American company ice cream
Heineken,It's all about the beer.,"Heineken Lager Beer, or simply Heineken, is a Dutch pale lager beer with 5% alcohol by volume produced by the Dutch brewing company Heineken N.V. Heineken beer is sold in a green bottle with a red star.",Heineken Lager Beer Heineken Dutch pale lager beer % alcohol volume Dutch
Gatorade,The Legend Continues.,"Gatorade is an American brand of sports-themed beverage and food products, built around its signature line of sports drinks. The drink is owned and manufactured by PepsiCo and is distributed in over 80 countries. The beverage was developed in 1965 by a team of researchers at the University of Florida led by Robert Cade. It was originally made for the school's student-athletes, the Gators, to replenish the carbohydrates that they burned and the combination of water and electrolytes that they lost in sweat during vigorous sports activities. Stokely-Van Camp acquired the rights to produce and market the Gatorade brand in 1965 before the company was purchased by the Quaker Oats Company in 1983, which, in turn, was bought by PepsiCo in 2001.",Gatorade American brand sports beverage food products signature line sports drinks drink
Milo,MILO Everyday!,Milo may refer to:,Milo
Starbucks,Customize Your Cup.,"Starbucks Corporation is an American multinational chain of coffeehouses and roastery reserves headquartered in Seattle, Washington. It was founded in 1971 by Jerry Baldwin, Zev Siegl, and Gordon Bowker at Seattle's Pike Place Market initially as a coffee bean wholesaler. Starbucks was converted into a coffee shop serving espresso-based drinks under the ownership of Howard Schultz, who was chief executive officer from 1986 to 2000 and led the aggressive expansion of the franchise across the West Coast of the United States.",Starbucks Corporation American multinational chain coffeehouses roastery reserves Seattle Washington Jerry Baldwin
